"STOCK_CODE","STOCK_NAME","MARKET_TYPE","SECTOR","LISTED_DATE","STATUS"
"049720","고려신용정보","KOSDAQ","기타 사업지원 서비스업",02/01/31,"ACTIVE"
"002240","고려제강보통주","KOSPI","1차 철강 제조업",76/05/25,"ACTIVE"
"014570","고려제약","KOSDAQ","의약품 제조업",00/12/07,"ACTIVE"
"348150","고바이오랩","KOSDAQ","자연과학 및 공학 연구개발업",20/11/18,"ACTIVE"
"098460","고영테크놀러지","KOSDAQ","특수 목적용 기계 제조업",08/06/03,"ACTIVE"
"035290","골드앤에스","KOSDAQ","서적, 잡지 및 기타 인쇄물 출판업",99/12/07,"ACTIVE"
"121440","골프존홀딩스","KOSDAQ","상품 중개업",11/05/20,"ACTIVE"
"366030","공구우먼","KOSDAQ","의복 액세서리 제조업",22/03/23,"ACTIVE"
"009290","광동제약보통주","KOSPI","의약품 제조업",89/11/17,"ACTIVE"
"086220","광동헬스바이오","KONEX","기타 식품 제조업",15/07/09,"ACTIVE"
"029480","광무","KOSDAQ","통신 및 방송 장비 제조업",96/08/27,"ACTIVE"
"017900","광전자보통주","KOSPI","반도체 제조업",96/10/16,"ACTIVE"
"037710","광주신세계보통주","KOSPI","종합 소매업",02/02/07,"ACTIVE"
"026910","광진실업","KOSDAQ","1차 철강 제조업",96/01/03,"ACTIVE"
"465320","교보15호기업인수목적","KOSDAQ","금융 지원 서비스업",23/12/05,"ACTIVE"
"489210","교보17호기업인수목적","KOSDAQ","금융 지원 서비스업",24/11/21,"ACTIVE"
"0041B0","교보18호기업인수목적","KOSDAQ","금융 지원 서비스업",25/08/14,"ACTIVE"
"0098T0","교보19호기업인수목적","KOSDAQ","금융 지원 서비스업",25/12/12,"ACTIVE"
"030610","교보증권보통주","KOSPI","금융 지원 서비스업",02/07/18,"ACTIVE"
"339770","교촌에프앤비보통주","KOSPI","음·식료품 및 담배 도매업",20/11/12,"ACTIVE"
"053270","구영테크","KOSDAQ","자동차 신품 부품 제조업",02/02/07,"ACTIVE"
"066620","국보디자인","KOSDAQ","실내건축 및 건축마무리 공사업",02/09/05,"ACTIVE"
"060480","국일신동","KOSDAQ","1차 비철금속 제조업",14/12/29,"ACTIVE"
"078130","국일제지","KOSDAQ","기타 종이 및 판지 제품 제조업",04/10/22,"ACTIVE"
"307750","국전","KOSDAQ","의약품 제조업",18/12/19,"ACTIVE"
"318060","그래피","KOSDAQ","합성고무 및 플라스틱 물질 제조업",25/08/25,"ACTIVE"
"900290","그레이트리치과기유한공사","KOSDAQ","기타 금융업",16/10/25,"ACTIVE"
